區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
太平區,0,149.62,7,有,798,0.707538785
北屯區,29,121.84,6,無,465,0.045591394
大肚區,0,156.56,7,有,968,0.316117391
大里區,10,148.94,7,有,858,0.837176421
清水區,0,127.43,4,有,529.54,0.921867846
北屯區,4,135.73,6,有,740,0.522501861
西屯區,24,131.51,7,無,585,0.961737631
西區,37,133.82,5,無,750,0.016248007
南區,19,103.88,7,有,615,0.964361241
東區,3,162.19,12,無,2180,0.513343774
大里區,0,113.56,4,有,755,0.152814762
西屯區,0,127.7,6,有,988,0.262420637
南屯區,4,182.76,7,有,1315,0.472170901
北屯區,0,164.88,6,有,1513,0.97078486
太平區,0,172.83,11,無,1230,0.301532055
大里區,5,159.43,7,有,895,0.52977424
南屯區,0,131.55,6,有,693,0.598682259
南屯區,0,201.47,8,有,1240,0.71592851
西屯區,13,206.5,8,有,1450,0.35931423
南區,0,173.02,7,有,1138,0.837464287
太平區,1,184.97,12,無,1812,0.869330934
西屯區,6,136.18,6,有,910,0.609649303
沙鹿區,0,153.02,7,有,698,0.569605365
龍井區,25,120.9,7,有,390,0.257658413
北屯區,5,139.59,5,有,760,0.723214706
西區,56,57.38,7,無,706,0.291962933
北屯區,0,149.94,7,有,958,0.516845864
北區,1,107.72,3,有,850,0.855873362
西屯區,0,55.54,3,無,535,0.173770727
西區,23,112.26,7,無,510,0.885775833
北區,0,111.71,5,有,801,0.994791066
大里區,22,180.3,12,無,1200,0.240222581
西屯區,24,181.33,9,有,1200,0.769891413
清水區,0,140.81,5,有,501,0.549170042
東勢區,17,113.87,6,無,400,0.031483102
西屯區,0,90.91,5,有,950,0.818727394
南區,37,85.51,6,無,450,0.504966756
太平區,0,178.35,10,無,1288,0.607299723
太平區,25,103.48,7,有,500,0.863159423
南屯區,5,219.84,8,有,1220,0.314981473
大里區,0,215.4,11,無,1810,0.563655218
太平區,4,151.51,12,無,1150,0.966549971
龍井區,40,107.58,10,無,800,0.177038276
北屯區,2,204.3,7,有,1190,0.383560396
北屯區,0,153.21,7,有,712,0.105505811
北屯區,22,252.18,11,無,1280,0.45714526
沙鹿區,0,171.47,10,無,905,0.695626405
南區,14,143.67,7,有,750,0.050105171
西屯區,0,58.9,4,無,535,0.496353237
太平區,28,92.43,6,無,450,0.531768961
南屯區,1,350.65,7,有,3988,0.904375799
大甲區,39,104.22,9,無,960,0.200575968
南屯區,2,283.38,8,有,2748,0.319222582
中區,0,81.68,6,無,570,0.246788559
大里區,35,93.74,7,無,418,0.794368752
太平區,0,199.03,10,無,1470,0.987327457
北屯區,0,134.12,5,有,825,0.372719236
大肚區,0,119.79,5,有,660,0.672894843
西屯區,25,48.07,3,無,298,0.94547436
南區,25,34.1,3,無,160,0.970149976
大甲區,1,67.02,3,無,335,0.758562457
東區,27,102.77,7,無,375,0.393646754
東區,31,24.92,3,無,123,0.036396555
太平區,25,141.94,6,有,520,0.505067002
北屯區,12,241.24,10,無,2700,0.328392764
太平區,0,255.16,15,無,2710,0.288852887
東區,5,130.97,5,有,898,0.045040641
南屯區,13,340.49,13,無,3750,0.744478624
北區,24,34.1,3,無,330,0.745250177
東區,14,229.68,13,無,2210,0.986373837
外埔區,0,132.69,10,無,840,0.238448803
大里區,0,119.24,5,有,679,0.28125625
北屯區,4,174.64,7,有,940,0.182556061
西屯區,0,121.62,5,有,933,0.482804077
大里區,39,111.8,8,無,1130,0.475157456
北屯區,0,130.55,5,有,817,0.574627251
大雅區,0,158.41,10,無,1143,0.250292154
北區,14,65.6,3,無,480,0.520024484
北屯區,31,154.93,7,有,860,0.403417672
北屯區,10,122.4,5,有,730,0.203097426
西屯區,15,159.93,7,有,1318,0.195272356
大雅區,0,173.63,9,無,1375,0.008270583
西區,37,255.67,9,無,888,0.306020008
西區,25,41.9,3,無,183,0.963467379
西屯區,27,96.78,7,有,695,0.460788167
西屯區,27,79.27,5,有,560,0.479388054
南區,3,128.27,5,有,895,0.500019358
北屯區,3,174.33,7,有,1280,0.501757447
北屯區,6,415.24,13,無,3970,0.787363188
太平區,0,160.36,7,有,890,0.344116431
烏日區,6,187.5,8,有,975,0.735685372
神岡區,1,168.69,10,無,1398,0.400441403
西屯區,0,120.99,5,有,1110,0.839964884
南屯區,3,400.44,12,無,5200,0.530402347
太平區,1,173.12,7,有,1088,0.643940085
西屯區,13,38.91,3,無,333,0.618398636
南區,1,165.16,7,有,1097,0.562617837
大里區,0,115.71,4,有,628,0.22708539
西屯區,2,157.7,6,有,1180,0.405266358
西屯區,12,138.72,7,無,1062,0.236364337
北區,45,81.09,6,無,405,0.635112279
東勢區,22,135.95,9,無,390,0.642384558
北區,39,44.67,4,無,343,0.140823502
西屯區,0,219.45,6,有,3880,0.458807272
南區,0,173.02,7,有,1120,0.438498758
大里區,28,447.32,13,無,1900,0.253731015
太平區,0,188.33,12,無,1688,0.648332084
清水區,0,160.08,7,有,605,0.811219441
南屯區,0,109.37,5,有,1215,0.435072377
大肚區,39,69.9,7,無,355,0.657124468
大里區,0,115.71,4,有,653,0.991197161
北屯區,4,166.73,7,有,936,0.54703344
大里區,6,156.75,7,有,1198,0.128776568
南屯區,0,131.55,6,有,768,0.623939979
豐原區,0,117.43,5,有,708,0.854442181
烏日區,4,103.56,4,無,600,0.936108464
豐原區,4,125.72,5,有,730,0.004796562
潭子區,0,233.11,12,無,2378,0.234257167
大里區,0,87.17,5,無,458,0.422679713
南屯區,8,221.17,7,有,1438,0.501914362
烏日區,0,120,5,有,598,0.755843999
北區,37,49.6,3,無,230,0.281261999
西區,1,158.16,7,有,1328,0.813366101
北屯區,0,147.64,7,有,915,0.313661916
北屯區,7,124.76,6,有,949,0.638552484
北區,40,55.35,4,無,250,0.347287961
清水區,2,189.29,9,無,880,0.030208135
豐原區,0,132.53,6,有,638,0.219292892
北區,48,84.52,12,無,700,0.313612411
烏日區,3,255.74,8,有,1638,0.901983479
北屯區,0,138.02,6,有,850,0.377355804
西區,27,38.35,3,無,228,0.075756357
烏日區,0,187.05,9,無,1292,0.590122861
西屯區,14,128.32,6,有,1118,0.794750363
梧棲區,0,181.32,11,無,768,0.603293379
北屯區,0,143.87,6,有,768,0.784656588
烏日區,5,146.3,7,有,800,0.790778304
大里區,29,101.64,7,有,520,0.763289606
